name,brand,description,notes,fragranceFamily,price_50ml,clean_name
Donna Born in Roma Eau de Parfum,Valentino,This is a warm floral fragrance inspired by Roman street style and edgy haute couture. A trio of jasmine flowers and sparkling blackcurrant fuse with warm vanilla and rich woods to create a scent that captures the essence of modern femininity.,"Blackcurrant, Jasmine Grandiflorum, Bourbon Vanilla",Floral,155.0,donna born in roma eau de parfum
Good Girl Blush Eau de Parfum,Carolina Herrera,"A fresh, floral explosion of femininity, this radiant reinvention of the iconic Good Girl scent reveals the multifaceted nature of modern womanhood with a double dose of sensual vanilla and exotic ylang-ylang.","Mandarin, Ylang-Ylang, Vanilla",Floral,172.0,good girl blush eau de parfum
VANILLA | 28 Eau de Parfum ,KAYALI,"A time-honored union of creamy jasmine and rich Madagascan vanilla orchid draws out the sweet softness of Brazilian tonka. Beautifully balanced oriental notes of musk, amber, patchouli, and brown sugar form the distinguished wood base of this utterly sublime scent.","Vanilla Orchids, Tonka Absolute, Amber Woods",Warm & Spicy,136.0,vanilla  28 eau de parfum 
Black Opium Eau de Parfum,Yves Saint Laurent,"This is a seductively intoxicating women’s fragrance with opening notes of adrenaline-rich coffee and sweet vanilla that recline into the softness of white flowers for a young, modern scent.","Black Coffee, White Flowers, Vanilla",Warm & Spicy,155.0,black opium eau de parfum
Good Girl Eau de Parfum,Carolina Herrera,"The sweet, alluring qualities of jasmine give GOOD GIRL its brightness and femininity. The darker side is created with richly fragrant cocoa and intoxicating tonka. ","Tuberose, Jasmine, Tonka Bean",Floral,159.0,good girl eau de parfum
Libre Eau de Parfum,Yves Saint Laurent,"A bold, floral perfume for women where French lavender essence combines with sensual Moroccan orange blossom and daring musk accords to create a unique, long-lasting perfume.     ","Lavender, Orange Blossom, Musk Accord",Floral,160.0,libre eau de parfum
Miss Dior Eau de Parfum,DIOR,"In a warm and floral perfume, fresh notes of lily-of-the-valley, spicy peony, and powdery iris immediately awaken the senses in a dazzling bouquet.","Lily-of-the-Valley, Centifolia Rose, Soft Musk",Floral,169.0,miss dior eau de parfum
Paradoxe Eau de Parfum,Prada,"This is a floral, ambery perfume that reinvents freshness with a neroli bud extraction to capture the flower’s fresh scent, sensuality with bio-converted amber to reveal a vibrant warmth, and intensity through a revolutionary musk molecule for an intense yet subtle trail.","Neroli Bud, White Amber, White Musk",Floral,155.0,paradoxe eau de parfum
Burberry Goddess Eau de Parfum,BURBERRY,"This unique gourmand fragrance is made with a vegan formula led by a powerful trio of vanillas. On top, a vanilla infusion with woody tonalities, at the heart a vanilla caviar with a rich sweetness, and at the base a vanilla absolute enriched with luminous lavender.","Vanilla Infusion, Vanilla Caviar, Vanilla Absolute",Warm & Spicy,160.0,burberry goddess eau de parfum
Her Eau de Parfum,BURBERRY,"Burberry Her Eau de Parfum for women is an artful blend of berries elevated by spirited jasmine and violet and smoothed out with amber and musk. A multifaceted, magnetic fruity gourmand and the scent of freedom.","Dark Berries, Jasmine, Musk-Amber",Fruity Floral,160.0,her eau de parfum
